Solution Label,Type,Element,Flags,Soln Conc,Units,Corr Con,Units,Int
UMES 37441,Samp,K MultiCal,,-,ppm,2.79,-,-
UMES 37441,Samp,Mg 280.270,,2.44,ppm,2.44,ppm,306272
UMES 37441,Samp,Mn 259.372,v,0.01,ppm,0.01,ppm,413.4
UMES 37441,Samp,Mo 204.598,v,0.01,ppm,0.01,ppm,74.51
UMES 37441,Samp,Na MultiCal,,-,ppm,3.07,-,-
UMES 37441,Samp,Ni 230.299,uv,0,ppm,0,ppm,97.63
UMES 37441,Samp,P multical,,-,ppm,0.29,-,-
UMES 37441,Samp,S 181.972,,3.03,ppm,3.03,ppm,1273
UMES 37441,Samp,Zn 206.200,,0.08,ppm,0.08,ppm,379.2
UMES 37442,Samp,Al 394.401,,0.24,ppm,0.24,ppm,7828
UMES 37442,Samp,Ca 422.673,,6.77,ppm,6.77,ppm,2807756
UMES 37442,Samp,Cu 324.754,uv,0,ppm,0,ppm,739.2
UMES 37442,Samp,Fe 238.204,,0.2,ppm,0.2,ppm,7995
UMES 37442,Samp,K MultiCal,,-,ppm,2.44,-,-
UMES 37442,Samp,Mg 280.270,,2.25,ppm,2.25,ppm,281598
UMES 37442,Samp,Mn 259.372,v,0,ppm,0,ppm,286.3
UMES 37442,Samp,Mo 204.598,uv,0.01,ppm,0.01,ppm,69.17
UMES 37442,Samp,Na MultiCal,,-,ppm,3.03,-,-
UMES 37442,Samp,Ni 230.299,uv,0,ppm,0,ppm,96.53
UMES 37442,Samp,P multical,,-,ppm,0.21,-,-
UMES 37442,Samp,S 181.972,,2.96,ppm,2.96,ppm,1243
UMES 37442,Samp,Zn 206.200,,0.07,ppm,0.07,ppm,322.8
UMES 37443,Samp,Al 394.401,,0.21,ppm,0.21,ppm,6880
UMES 37443,Samp,Ca 422.673,,7.98,ppm,7.98,ppm,3232842
UMES 37443,Samp,Cu 324.754,uv,0,ppm,0,ppm,736.5
UMES 37443,Samp,Fe 238.204,v,0.04,ppm,0.04,ppm,1791
UMES 37443,Samp,K MultiCal,,-,ppm,2.81,-,-
UMES 37443,Samp,Mg 280.270,,2.63,ppm,2.63,ppm,330193
UMES 37443,Samp,Mn 259.372,v,0,ppm,0,ppm,186.3
UMES 37443,Samp,Mo 204.598,v,0.01,ppm,0.01,ppm,70.93
UMES 37443,Samp,Na MultiCal,,-,ppm,3.58,-,-
UMES 37443,Samp,Ni 230.299,,0.01,ppm,0.01,ppm,127.6
UMES 37443,Samp,P multical,,-,ppm,0.22,-,-
UMES 37443,Samp,S 181.972,,3.85,ppm,3.85,ppm,1604
UMES 37443,Samp,Zn 206.200,,0.07,ppm,0.07,ppm,350
UMES 37444,Samp,Al 394.401,,0.2,ppm,0.2,ppm,6707
UMES 37444,Samp,Ca 422.673,,7.98,ppm,7.98,ppm,3232289
UMES 37444,Samp,Cu 324.754,uv,0,ppm,0,ppm,798.5
UMES 37444,Samp,Fe 238.204,v,0.04,ppm,0.04,ppm,1630
UMES 37444,Samp,K MultiCal,,-,ppm,2.85,-,-
UMES 37444,Samp,Mg 280.270,,2.63,ppm,2.63,ppm,329927
UMES 37444,Samp,Mn 259.372,v,0,ppm,0,ppm,210.5
UMES 37444,Samp,Mo 204.598,uv,0,ppm,0,ppm,45.8
UMES 37444,Samp,Na MultiCal,,-,ppm,3.53,-,-
UMES 37444,Samp,Ni 230.299,uv,0,ppm,0,ppm,106.7
UMES 37444,Samp,P multical,,-,ppm,0.19,-,-
UMES 37444,Samp,S 181.972,,4.04,ppm,4.04,ppm,1678
UMES 37444,Samp,Zn 206.200,,0.05,ppm,0.05,ppm,247.8
UMES 37445,Samp,Al 394.401,,0.19,ppm,0.19,ppm,6441
UMES 37445,Samp,Ca 422.673,,7.4,ppm,7.4,ppm,3031692
UMES 37445,Samp,Cu 324.754,uv,0,ppm,0,ppm,679
UMES 37445,Samp,Fe 238.204,v,0.04,ppm,0.04,ppm,1755
UMES 37445,Samp,K MultiCal,,-,ppm,2.49,-,-
UMES 37445,Samp,Mg 280.270,,2.42,ppm,2.42,ppm,303099
UMES 37445,Samp,Mn 259.372,v,0,ppm,0,ppm,339
UMES 37445,Samp,Mo 204.598,uv,0,ppm,0,ppm,54.53
UMES 37445,Samp,Na MultiCal,,-,ppm,3.43,-,-
UMES 37445,Samp,Ni 230.299,uv,0,ppm,0,ppm,102.4
UMES 37445,Samp,P multical,,-,ppm,0.14,-,-
UMES 37445,Samp,S 181.972,,3.75,ppm,3.75,ppm,1561
UMES 37445,Samp,Zn 206.200,,0.05,ppm,0.05,ppm,266.2
UMES 37446,Samp,Al 394.401,,0.2,ppm,0.2,ppm,6551
UMES 37446,Samp,Ca 422.673,,7.59,ppm,7.59,ppm,3097529
UMES 37446,Samp,Cu 324.754,uv,0,ppm,0,ppm,734.2
UMES 37446,Samp,Fe 238.204,v,0.04,ppm,0.04,ppm,1540
UMES 37446,Samp,K MultiCal,,-,ppm,2.43,-,-
UMES 37446,Samp,Mg 280.270,,2.45,ppm,2.45,ppm,306937
UMES 37446,Samp,Mn 259.372,v,0,ppm,0,ppm,341.8
UMES 37446,Samp,Mo 204.598,uv,0,ppm,0,ppm,57.7
UMES 37446,Samp,Na MultiCal,,-,ppm,3.48,-,-
UMES 37446,Samp,Ni 230.299,,0.01,ppm,0.01,ppm,128.1
UMES 37446,Samp,P multical,,-,ppm,0.12,-,-
UMES 37446,Samp,S 181.972,,3.78,ppm,3.78,ppm,1577
UMES 37446,Samp,Zn 206.200,,0.09,ppm,0.09,ppm,414.2
UMES 37447,Samp,Al 394.401,,0.21,ppm,0.21,ppm,6938
UMES 37447,Samp,Ca 422.673,,8.95,ppm,8.95,ppm,3557527
UMES 37447,Samp,Cu 324.754,uv,0,ppm,0,ppm,772.6
UMES 37447,Samp,Fe 238.204,,0.05,ppm,0.05,ppm,2168
UMES 37447,Samp,K MultiCal,,-,ppm,2.8,-,-
UMES 37447,Samp,Mg 280.270,,2.88,ppm,2.88,ppm,361150
UMES 37447,Samp,Mn 259.372,v,0.01,ppm,0.01,ppm,567.5
UMES 37447,Samp,Mo 204.598,uv,0,ppm,0,ppm,63.37
UMES 37447,Samp,Na MultiCal,,-,ppm,3.81,-,-
UMES 37447,Samp,Ni 230.299,uv,0.01,ppm,0.01,ppm,126.3
UMES 37447,Samp,P multical,,-,ppm,0.15,-,-
