"Solution Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int"
"V D36_19-089","Samp","Ni 230.299","uv",-0.01,"ppm",-0.01,"ppm",136.2
"V D36_19-089","Samp","P multical","","-","ppm",0.20,"-","-"
"V D36_19-089","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",355.6
"V D36_19-089","Samp","Zn 206.200","",0.02,"ppm",0.02,"ppm",100.8
"V D36_19-090","Samp","Al 394.401","",0.93,"ppm",0.93,"ppm",13026
"V D36_19-090","Samp","Ca 422.673","",4.74,"ppm",4.74,"ppm",501005
"V D36_19-090","Samp","Cu 324.754","uv",0.00,"ppm",0.00,"ppm",882.4
"V D36_19-090","Samp","Fe 238.204","",1.30,"ppm",1.30,"ppm",30234
"V D36_19-090","Samp","K MultiCal","","-","ppm",1.56,"-","-"
"V D36_19-090","Samp","Mg 280.270","",1.93,"ppm",1.93,"ppm",119014
"V D36_19-090","Samp","Mn 259.372","",0.10,"ppm",0.10,"ppm",4133
"V D36_19-090","Samp","Mo 204.598","uv",0.00,"ppm",0.00,"ppm",76.42
"V D36_19-090","Samp","Na MultiCal","","-","ppm",2.94,"-","-"
"V D36_19-090","Samp","Ni 230.299","uv",-0.02,"ppm",-0.02,"ppm",89.99
"V D36_19-090","Samp","P multical","","-","ppm",0.11,"-","-"
"V D36_19-090","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",491.7
"V D36_19-090","Samp","Zn 206.200","",0.02,"ppm",0.02,"ppm",79.55
"V D36_19-091","Samp","Al 394.401","",10.34,"ppm",10.34,"ppm",141566
"V D36_19-091","Samp","Ca 422.673","",8.14,"ppm",8.14,"ppm",847523
"V D36_19-091","Samp","Cu 324.754","",0.01,"ppm",0.01,"ppm",1290
"V D36_19-091","Samp","Fe 238.204","",26.54,"ppm",26.54,"ppm",608789
"V D36_19-091","Samp","K MultiCal","","-","ppm",3.49,"-","-"
"V D36_19-091","Samp","Mg 280.270","",3.68,"ppm",3.68,"ppm",226949
"V D36_19-091","Samp","Mn 259.372","",1.78,"ppm",1.78,"ppm",84648
"V D36_19-091","Samp","Mo 204.598","uv",0.00,"ppm",0.00,"ppm",78.68
"V D36_19-091","Samp","Na MultiCal","","-","ppm",3.66,"-","-"
"V D36_19-091","Samp","Ni 230.299","",0.02,"ppm",0.02,"ppm",403.0
"V D36_19-091","Samp","P multical","","-","ppm",0.92,"-","-"
"V D36_19-091","Samp","S 181.972","unca","uncal","ppm","uncal","ppm",545.7
"V D36_19-091","Samp","Zn 206.200","",0.11,"ppm",0.11,"ppm",333.0
"V D36_19-092","Samp","Al 394.401","",4.82,"ppm",4.82,"ppm",66261
"V D36_19-092","Samp","Ca 422.673","",5.45,"ppm",5.45,"ppm",573901
