"Solution Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int"
"LTAR19-011","Samp","Mo 204.598","v",0.02,"ppm",0.02,"ppm",122.9
"LTAR19-011","Samp","Na MultiCal","","-","ppm",0.77,"-","-"
"LTAR19-011","Samp","Ni 230.299","",0.12,"ppm",0.12,"ppm",1624
"LTAR19-011","Samp","P multical","","-","ppm",6.95,"-","-"
"LTAR19-011","Samp","S 181.972","",2.37,"ppm",2.37,"ppm",1041
"LTAR19-011","Samp","Zn 206.200","",0.45,"ppm",0.45,"ppm",2175
"LTAR19-012","Samp","Mg Multical","","-","ppm",7.61,"-","-"
"LTAR19-012","Samp","Ca Multical","o","-","ppm",6.76,"-","-"
"LTAR19-012","Samp","Al 394.401","",104.1,"ppm",104.1,"ppm",2496108
"LTAR19-012","Samp","Cu 324.754","",0.11,"ppm",0.11,"ppm",7630
"LTAR19-012","Samp","Fe 238.204","",140.1,"ppm",140.1,"ppm",5789615
"LTAR19-012","Samp","K MultiCal","","-","ppm",7.02,"-","-"
"LTAR19-012","Samp","Mn 259.372","",9.71,"ppm",9.71,"ppm",1042361
"LTAR19-012","Samp","Mo 204.598","v",0.02,"ppm",0.02,"ppm",132.4
"LTAR19-012","Samp","Na MultiCal","","-","ppm",0.66,"-","-"
"LTAR19-012","Samp","Ni 230.299","",0.14,"ppm",0.14,"ppm",1844
"LTAR19-012","Samp","P multical","","-","ppm",5.54,"-","-"
"LTAR19-012","Samp","S 181.972","",1.54,"ppm",1.54,"ppm",689.2
"LTAR19-012","Samp","Zn 206.200","",0.40,"ppm",0.40,"ppm",1932
"LTAR19-013","Samp","Mg Multical","","-","ppm",8.35,"-","-"
"LTAR19-013","Samp","Ca Multical","o","-","ppm",6.75,"-","-"
"LTAR19-013","Samp","Al 394.401","",128.0,"ppm",128.0,"ppm",2967618
"LTAR19-013","Samp","Cu 324.754","",0.15,"ppm",0.15,"ppm",10026
"LTAR19-013","Samp","Fe 238.204","x",273.0,"ppm",273.0,"ppm",9284812
"LTAR19-013","Samp","K MultiCal","","-","ppm",8.70,"-","-"
"LTAR19-013","Samp","Mn 259.372","",8.46,"ppm",8.46,"ppm",910003
"LTAR19-013","Samp","Mo 204.598","v",0.01,"ppm",0.01,"ppm",111.9
"LTAR19-013","Samp","Na MultiCal","","-","ppm",0.70,"-","-"
"LTAR19-013","Samp","Ni 230.299","",0.14,"ppm",0.14,"ppm",1800
"LTAR19-013","Samp","P multical","","-","ppm",7.25,"-","-"
"LTAR19-013","Samp","S 181.972","",2.39,"ppm",2.39,"ppm",1050
"LTAR19-013","Samp","Zn 206.200","",0.49,"ppm",0.49,"ppm",2361
"LTAR19-014","Samp","Mg Multical","","-","ppm",8.25,"-","-"
"LTAR19-014","Samp","Ca Multical","o","-","ppm",6.59,"-","-"
"LTAR19-014","Samp","Al 394.401","",138.2,"ppm",138.2,"ppm",3158505
"LTAR19-014","Samp","Cu 324.754","",0.12,"ppm",0.12,"ppm",8588
"LTAR19-014","Samp","Fe 238.204","x",321.5,"ppm",321.5,"ppm",10313523
"LTAR19-014","Samp","K MultiCal","","-","ppm",8.84,"-","-"
"LTAR19-014","Samp","Mn 259.372","",8.60,"ppm",8.60,"ppm",924908
"LTAR19-014","Samp","Mo 204.598","v",0.02,"ppm",0.02,"ppm",132.3
"LTAR19-014","Samp","Na MultiCal","","-","ppm",0.84,"-","-"
"LTAR19-014","Samp","Ni 230.299","",0.14,"ppm",0.14,"ppm",1867
"LTAR19-014","Samp","P multical","","-","ppm",6.46,"-","-"
"LTAR19-014","Samp","S 181.972","",1.61,"ppm",1.61,"ppm",716.7
"LTAR19-014","Samp","Zn 206.200","",0.44,"ppm",0.44,"ppm",2106
"LTAR19-015","Samp","Mg Multical","","-","ppm",6.73,"-","-"
"LTAR19-015","Samp","Ca Multical","o","-","ppm",6.70,"-","-"
"LTAR19-015","Samp","Al 394.401","",120.0,"ppm",120.0,"ppm",2814271
"LTAR19-015","Samp","Cu 324.754","",0.14,"ppm",0.14,"ppm",9435
